<Year,Year Days,Luna Day 1,Month Names,,,,,,,,,,,,,Month Days,,,,,,,,,,,,>
<1943,15706,15741,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,89,119,148,178,208,237,267,296,326,355>
<1944,16071,16095,1,2,3,4,4,5,6,7,8,9,10,11,12,1,31,60,90,119,149,178,208,237,267,297,326,356>
<1945,16437,16480,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,59,89,118,147,177,206,236,266,296,325,355>
<1946,16802,16834,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,89,119,148,177,207,236,266,296,325,355>
<1947,17167,17188,1,2,2,3,4,5,6,7,8,9,10,11,12,1,31,61,90,119,149,178,207,237,266,296,325,355>
<1948,17532,17572,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,119,149,178,207,237,266,296,325,355>
<1949,17898,17926,1,2,3,4,5,6,7,7,8,9,10,11,12,1,31,60,90,120,149,179,208,237,267,296,326,355>
<1950,18263,18310,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,90,119,149,179,208,237,267,296,326,355>
<1951,18628,18664,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,120,149,179,208,238,267,297,326,356>
<1952,18993,19019,1,2,3,4,5,5,6,7,8,9,10,11,12,1,30,60,89,119,148,178,207,237,267,296,326,355>
<1953,19359,19403,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,89,118,148,178,207,237,267,296,326,355>
<1954,19724,19757,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,119,148,178,207,237,267,296,326,356>
<1955,20089,20112,1,2,3,3,4,5,6,7,8,9,10,11,12,1,30,60,89,119,148,177,207,236,266,295,325,355>
<1956,20454,20496,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,89,119,148,177,207,236,266,295,325,355>
<1957,20820,20850,1,2,3,4,5,6,7,8,8,9,10,11,12,1,31,60,90,119,149,178,207,237,266,296,325,355>
<1958,21185,21233,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,61,91,120,150,179,208,238,267,297,326,356>
<1959,21550,21588,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,90,119,149,178,208,237,267,296,326,355>
<1960,21915,21942,1,2,3,4,5,6,6,7,8,9,10,11,12,1,31,60,90,119,149,179,208,238,267,297,326,356>
<1961,22281,22326,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,119,149,178,208,238,267,297,326,356>
<1962,22646,22681,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,89,118,148,177,207,237,266,296,326,355>
<1963,23011,23035,1,2,3,4,4,5,6,7,8,9,10,11,12,1,31,60,90,119,148,178,207,237,266,296,326,356>
<1964,23376,23419,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,119,148,178,207,237,266,296,326,356>
<1965,23742,23774,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,89,119,148,177,207,236,265,295,325,354>
<1966,24107,24127,1,2,3,3,4,5,6,7,8,9,10,11,12,1,31,61,91,120,150,179,208,238,267,296,326,356>
<1967,24472,24511,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,61,90,120,150,179,208,238,267,297,326,356>
<1968,24837,24866,1,2,3,4,5,6,7,7,8,9,10,11,12,1,30,60,89,119,149,178,208,237,267,296,326,355>
<1969,25203,25250,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,89,119,148,178,208,237,267,296,326,355>
<1970,25568,25604,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,89,119,148,178,208,237,267,297,326,356>
<1971,25933,25959,1,2,3,4,5,5,6,7,8,9,10,11,12,1,30,60,89,118,148,177,207,236,266,296,326,355>
<1972,26298,26343,1,2,3,4,5,6,7,8,9,10,11,12,0,1,30,60,89,118,148,177,207,236,266,296,325,355>
<1973,26664,26697,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,60,90,119,148,178,207,236,266,296,325,355>
<1974,27029,27051,1,2,3,4,4,5,6,7,8,9,10,11,12,1,31,61,90,120,149,178,208,237,266,296,326,355>
<1975,27394,27435,1,2,3,4,5,6,7,8,9,10,11,12,0,1,31,61,90,120,149,178,208,237,266,296,325,355>
<1976,27759,27789,1,2,3,4,5,6,7,8,8,9,10,11,12,1,31,61,90,120,149,179,208,238,267,296,326,355>
